ID,Phase,Position_x,Position_y,Position_z,Orientation_x,Orientation_y,Orientation_z
278,5.628686838,0.124556474,-0.095575544,0.018,-0.79335334,0.608761429,0
279,5.694136685,0.130540729,-0.087224527,0.018,-0.831469612,0.555570233,0
280,5.759586532,0.135965988,-0.0785,0.018,-0.866025404,0.5,0
281,5.825036379,0.14080902,-0.069439324,0.018,-0.896872742,0.44228869,0
282,5.890486225,0.145049087,-0.060081299,0.018,-0.923879533,0.382683432,0
283,5.955936072,0.14866803,-0.050465996,0.018,-0.946930129,0.321439465,0
284,6.021385919,0.151650355,-0.04063459,0.018,-0.965925826,0.258819045,0
285,6.086835766,0.153983289,-0.030629181,0.018,-0.98078528,0.195090322,0
286,6.152285613,0.155656843,-0.020492612,0.018,-0.991444861,0.130526192,0
287,6.21773546,0.156663851,-0.010268291,0.018,-0.997858923,0.065403129,0
288,0.032724923,0.156663851,0.010268291,0.027,-0.997858923,-0.065403129,0
289,0.09817477,0.155656843,0.020492612,0.027,-0.991444861,-0.130526192,0
290,0.163624617,0.153983289,0.030629181,0.027,-0.98078528,-0.195090322,0
291,0.229074464,0.151650355,0.04063459,0.027,-0.965925826,-0.258819045,0
292,0.294524311,0.14866803,0.050465996,0.027,-0.946930129,-0.321439465,0
293,0.359974158,0.145049087,0.060081299,0.027,-0.923879533,-0.382683432,0
294,0.425424005,0.14080902,0.069439324,0.027,-0.896872742,-0.44228869,0
295,0.490873852,0.135965988,0.0785,0.027,-0.866025404,-0.5,0
296,0.556323699,0.130540729,0.087224527,0.027,-0.831469612,-0.555570233,0
297,0.621773546,0.124556474,0.095575544,0.027,-0.79335334,-0.608761429,0
298,0.687223393,0.11803885,0.103517293,0.027,-0.751839807,-0.659345815,0
299,0.75267324,0.111015765,0.111015765,0.027,-0.707106781,-0.707106781,0
300,0.818123087,0.103517293,0.11803885,0.027,-0.659345815,-0.751839807,0
301,0.883572934,0.095575544,0.124556474,0.027,-0.608761429,-0.79335334,0
302,0.949022781,0.087224527,0.130540729,0.027,-0.555570233,-0.831469612,0
303,1.014472628,0.0785,0.135965988,0.027,-0.5,-0.866025404,0
304,1.079922475,0.069439324,0.14080902,0.027,-0.44228869,-0.896872742,0
305,1.145372322,0.060081299,0.145049087,0.027,-0.382683432,-0.923879533,0
306,1.210822169,0.050465996,0.14866803,0.027,-0.321439465,-0.946930129,0
307,1.276272016,0.04063459,0.151650355,0.027,-0.258819045,-0.965925826,0
308,1.341721862,0.030629181,0.153983289,0.027,-0.195090322,-0.98078528,0
309,1.407171709,0.020492612,0.155656843,0.027,-0.130526192,-0.991444861,0
310,1.472621556,0.010268291,0.156663851,0.027,-0.065403129,-0.997858923,0
311,1.538071403,6.22714E-14,0.157,0.027,-3.96633E-13,-1,0
312,1.60352125,-0.010268291,0.156663851,0.027,0.065403129,-0.997858923,0
313,1.668971097,-0.020492612,0.155656843,0.027,0.130526192,-0.991444861,0
314,1.734420944,-0.030629181,0.153983289,0.027,0.195090322,-0.98078528,0
315,1.799870791,-0.04063459,0.151650355,0.027,0.258819045,-0.965925826,0
316,1.865320638,-0.050465996,0.14866803,0.027,0.321439465,-0.946930129,0
